pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.190912,0.20327,0.198246,0.203302,0.207882
11,0.227722,0.232029,0.230301,0.231347,0.23976
12,0.267814,0.275187,0.273645,0.271862,0.275514
13,0.332902,0.338944,0.358502,0.344125,0.363008
14,0.54231,0.547942,0.582566,0.528691,0.580096
15,1.10122,1.08004,1.19388,1.05548,1.3282
16,2.47066,2.51925,2.46794,2.47408,2.57988
17,6.83138,8.67071,2.94749,7.67178,3.09222
18,15.2841,19.5764,3.26068,15.2579,3.37204
19,29.8558,42.5,4.38446,30.2604,4.41866
20,62.6478,87.6468,7.02458,61.0089,7.04306
21,125.623,174.994,11.7464,121.653,12.3238
22,254.383,353.722,22.4079,245.924,22.7435
