pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.0396832,0.0410944,0.039792,0.0421408,0.0394752
11,0.0491136,0.0492544,0.0490208,0.050672,0.0490144
12,0.0492736,0.0494016,0.04912,0.0491904,0.0493888
13,0.0514656,0.051456,0.0509824,0.051264,0.0514528
14,0.0633408,0.0633856,0.0544768,0.063488,0.0616576
15,0.128608,0.129085,0.13152,0.126726,0.128237
16,0.253066,0.250512,0.245392,0.247699,0.243075
17,0.433206,0.47769,0.422941,0.463034,0.422291
18,0.85312,0.857958,0.807859,0.857539,0.801421
19,1.6386,1.592,1.64689,1.67103,1.59793
20,3.47026,3.48657,3.24903,3.6192,3.127
21,6.83214,6.77442,6.44457,6.99943,6.32909
22,13.8132,13.5242,12.4594,13.7674,12.979
