pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.0274,0.0306,0.0264,0.0248,0.0309
11,0.0869,0.0946,0.0896,0.082,0.0882
12,0.1316,0.1373,0.1246,0.1265,0.1414
13,0.192,0.1964,0.1943,0.1981,0.19
14,0.3869,0.3841,0.3843,0.3903,0.3816
15,0.7624,0.7728,0.766,0.7422,0.7987
16,1.5128,1.5184,1.5322,1.5129,1.5421
17,3.0435,3.0245,3.015,3.0457,2.9992
18,6.049,6.0428,6.0276,6.0416,6.0557
19,12.1894,12.1009,12.2315,12.2317,12.1467
20,24.0899,24.0874,24.0899,23.9859,24.1443
21,47.7171,47.9918,48.0275,47.9257,48.0491
22,95.8717,95.6981,96.2559,95.312,95.8546
23,189.301,189.126,190.023,189.509,191.114
24,403.095,410.272,406.785,397.665,407.602
25,810.42,783.759,831.234,796.821,814.029
