pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.08,0.0826,0.0811,0.0815,0.0827
11,0.1696,0.167,0.1695,0.1699,0.1851
12,0.3552,0.3588,0.3745,0.3761,0.3947
13,0.7949,0.8545,0.8285,0.8962,0.9029
14,1.9366,2.0375,2.0296,2.1226,2.1829
15,4.8946,4.8573,4.9846,4.8079,5.3125
16,10.4373,11.0889,11.7134,11.568,12.4293
17,23.3042,24.7816,27.3962,25.1659,29.2797
18,53.317,54.7655,63.3447,55.2121,67.2148
19,115.512,117.09,148.779,119.505,168.193
20,246.115,274.738,400.461,268.733,461.217
21,566.595,579.199,1170.72,634.571,1222.53
22,1293.74,1304.43,2931.42,1305.72,3054.34
23,2927.8,2857.4,6944.97,2900.17,7299.76
24,6193.44,6946.74,17474,6314.71,17217.3
25,14428.1,16138.1,40599.2,14442.5,44176.2
