pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.0458,0.0486,0.0532,0.0453,0.0546
11,0.0966,0.1015,0.1197,0.0966,0.1334
12,0.1985,0.2038,0.275,0.1991,0.2877
13,0.399,0.4124,0.6792,0.406,0.7417
14,0.8354,0.8354,1.7762,0.8423,1.9005
15,1.8927,1.9045,4.4198,1.8785,4.6324
16,3.8399,4.253,10.5115,4.3205,10.9177
17,8.8639,10.6689,24.738,10.8293,26.0742
18,23.8167,26.2033,59.9719,26.4528,62.5709
19,55.1641,58.174,150.549,60.1157,169.116
20,117.276,125.281,427.687,128.294,480.989
21,262.399,274.361,1209.63,271.9,1217.69
22,588.642,603.112,2936.99,602.152,2989.45
23,1218.55,1320.55,6835.31,1308.57,6975.73
24,2881.88,2881.45,17231.3,2921.26,16584.3
25,6147.15,6453.35,40091,6591.67,43311.2
