pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.048,0.0523,0.0845,0.0459,0.0905
11,0.1007,0.0968,0.1864,0.0972,0.1948
12,0.2031,0.1952,0.4013,0.2055,0.4185
13,0.4456,0.4135,0.8662,0.4446,0.8983
14,0.9401,0.8533,1.8842,0.97,1.9647
15,1.9857,1.7439,4.1483,2.0694,4.3227
16,4.2761,3.7282,9.2685,4.4955,9.6031
17,9.054,7.8821,20.7426,9.5469,21.4199
18,19.0302,16.2228,47.0239,20.2101,48.5504
19,39.8346,33.8219,106.067,44.6193,111.29
20,84.3521,72.5056,247.007,90.2527,263.445
21,179.211,151.553,605.517,190.262,644.461
22,386.125,310.056,1477.77,394.225,1561.26
23,799.322,655.909,3563.72,821.925,3731.32
24,1698.13,1351.11,8276.45,1706.46,8569.82
25,3467.21,2780.59,18739.1,3589.98,19327.6
