pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.052,0.0529,0.063,0.054,0.0679
11,0.103,0.1043,0.1511,0.1092,0.155
12,0.2406,0.2412,0.351,0.2511,0.3606
13,0.5117,0.4544,0.7263,0.5178,0.7693
14,0.8888,0.8866,1.6429,1.0487,1.7112
15,1.7907,1.7992,3.7314,2.1277,3.9882
16,3.8034,3.7686,8.6508,4.5142,9.0967
17,7.8288,7.8938,19.7324,9.5869,20.6895
18,16.1634,16.3661,44.6361,19.9759,46.7992
19,34.07,34.4613,103.195,42.4823,112.334
20,85.3392,83.9073,278.499,85.3105,308.03
21,180.894,174.778,699.103,177.836,753.024
22,360.818,357.657,1640.71,360.869,1748.85
23,757.587,746.605,3868.28,752.459,4098.59
24,1540.94,1521.87,8851.3,1559.19,9271.56
25,3117.71,3088.85,19811.3,3135.72,20733.3
