pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.527776,0.547424,0.534528,0.534176,0.596896
11,0.721632,0.684864,0.779264,0.732288,0.663552
12,0.882336,0.835584,0.76288,0.816128,0.802048
13,0.933248,0.96672,0.87936,0.987136,0.878368
14,1.32294,1.22266,1.13293,1.21549,1.0977
15,1.80019,2.02752,1.99475,1.89338,1.74694
16,3.54307,3.6743,2.9143,3.44166,2.70438
17,6.0713,6.62835,3.328,6.07456,3.60653
18,11.4125,12.0023,5.00838,11.6354,5.17795
19,23.7586,22.0672,8.43024,22.9868,8.47974
20,43.4592,46.5306,15.148,45.6917,14.55
21,88.2238,91.9148,30.1835,86.0495,28.9717
22,175.306,190.132,58.7622,167.26,59.5445
23,367.947,401.964,119.986,338.472,119.382
24,736.685,647.627,248.562,693.823,246.489
25,1395.78,1672.9,519.746,1417.6,522.337
