pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.075744,0.07472,0.074112,0.077792,0.074752
11,0.095232,0.093504,0.093312,0.093856,0.094208
12,0.096256,0.096192,0.0952,0.096256,0.095136
13,0.095232,0.098304,0.09456,0.1072,0.096288
14,0.139008,0.163584,0.136192,0.200512,0.165888
15,0.24048,0.194304,0.247648,0.24544,0.218464
16,0.375936,0.505824,0.534624,0.453408,0.369664
17,1.29536,0.767616,0.813056,0.985728,0.795648
18,1.7831,1.70893,1.1345,1.71802,1.79302
19,3.67923,3.11088,3.03094,3.36077,3.44659
20,6.45018,7.11475,6.32294,8.44083,3.96595
21,14.5947,11.6733,10.1027,14.4282,11.249
22,29.695,25.5599,23.0697,26.1069,30.5193
23,66.2616,56.5606,58.1745,60.3658,37.2582
24,123.93,127.143,79.106,125.835,106.495
25,260.305,244.693,172.813,259.936,191.335
