pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.375171,0.389482,0.40416,0.375046,0.398666
11,0.463523,0.456336,0.479725,0.476698,0.466342
12,0.551242,0.525792,0.533811,0.537661,0.524867
13,0.600704,0.593264,0.612022,0.607741,0.607974
14,0.834762,0.805555,0.820032,0.804534,0.814826
15,1.32679,1.3095,1.36912,1.32251,1.36415
16,2.44242,2.44971,2.08887,2.46034,2.03699
17,4.18197,4.25736,2.776,4.17719,2.69501
18,7.7319,7.61637,4.32333,7.58568,4.25332
19,13.7239,15.4925,7.42293,14.2355,7.43279
20,27.9769,28.7006,13.7467,27.9738,13.7603
21,53.5621,55.3187,27.607,54.6986,27.4627
22,107.513,108.045,56.1925,108.529,56.4925
23,214.581,221.588,115.221,217.468,114.766
24,427.157,412.333,236.545,421.856,236.423
25,847.795,965.794,494.93,849.706,495.97
