pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.0705184,0.0673856,0.0673792,0.067776,0.0670976
11,0.0843616,0.0847552,0.0846848,0.085152,0.0842464
12,0.084992,0.0847712,0.0847264,0.085664,0.0850368
13,0.0882752,0.089248,0.0865856,0.0884896,0.088688
14,0.132595,0.120701,0.119498,0.124106,0.114794
15,0.203507,0.19553,0.210886,0.187427,0.218624
16,0.447786,0.463232,0.437658,0.425059,0.424915
17,0.881338,0.890573,0.842502,0.93513,0.779568
18,1.7629,1.6995,1.55574,1.66058,1.63811
19,3.0681,3.04595,2.96561,3.31837,3.26141
20,7.13179,7.35664,6.25769,7.18865,6.46036
21,14.7066,13.9694,13.4101,14.2241,13.3011
22,28.6311,28.7311,23.919,29.7008,26.6207
23,62.7546,61.2534,57.394,64.888,50.2004
24,129.873,121.761,105.54,124.312,103.218
25,248.249,245.309,188.339,249.547,215.282
