pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.0397,0.0721,0.1184,0.0403,0.1194
11,0.0844,0.1473,0.2604,0.0876,0.2629
12,0.179,0.2983,0.5566,0.1798,0.5592
13,0.3736,0.6131,1.1707,0.3781,1.1764
14,0.7982,1.3041,2.5738,0.7869,2.6047
15,1.6625,2.4673,5.5206,1.7128,5.5246
16,3.4767,5.1219,12.2845,3.458,12.2832
17,10.7097,10.1264,26.2524,7.3415,27.3497
18,14.9141,21.4313,59.7791,16.4031,61.1766
19,31.373,43.1323,144.397,30.8853,141.94
20,66.0666,90.0919,401.506,65.2332,393.713
21,145.687,183.525,943.947,136.947,885.311
22,271.864,384.315,1797.02,303.954,1952.77
23,527.722,778.402,4349.87,575.067,4594.76
24,1066.22,1407.34,8983.07,1080.5,10558.7
25,2197.94,2843.77,19670.7,2199.08,19694.3
