pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.0674,0.0657,0.0928,0.0668,0.0928
11,0.1353,0.1338,0.2183,0.1371,0.2169
12,0.2757,0.2714,0.4754,0.2736,0.4678
13,0.5602,0.5656,1.0296,0.5703,1.0058
14,1.1356,1.1385,2.4405,1.1215,2.4221
15,2.2178,2.2267,5.2167,2.2465,5.1986
16,4.8711,4.6975,11.6311,4.8555,11.4349
17,11.696,9.5582,25.0653,10.0229,26.0962
18,19.7947,20.2238,62.7821,20.8465,63.9696
19,42.0911,41.6798,154.959,41.5221,151.927
20,85.2597,87.0131,421.007,85.0008,444.207
21,189.31,185.135,1014.88,179.975,959.214
22,351.393,388.815,1922.03,395.573,2026.65
23,678.228,768.762,4583.28,728.246,4727.18
24,1349.37,1411.05,9346.64,1362.68,11237.1
25,2818.49,2798.71,20429.5,2822.36,20344.4
