
pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.202,0.182,0.238,0.299,0.282
11,0.442,0.441,0.506,0.475,0.632
12,0.687,0.824,0.92,1.025,1.016
13,1.166,1.75,2.17,1.779,2.053
14,2.569,3.159,3.634,3.606,4.112
15,5.076,6.503,8.053,7.029,8.658
16,10.833,14.005,17.898,13.95,22.007
17,28.762,29.519,42.048,28.478,48.289
18,68.504,73.509,111.535,69.97,117.214
19,132.226,140.77,218.938,132.158,246.98
20,299.209,328.115,483.808,294.761,576.747
21,641.804,680.585,1171.06,638.902,1367.33
22,1342.38,1438.5,2847.41,1330.08,3216.93
23,2842.58,3100.61,6698.96,2772.12,7315.42
24,5851.58,6286.24,14849.1,5832.25,16228.4
25,11948.7,12710.6,32382,11662.6,35853.1
