pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.349,0.376,0.395,0.329,0.364
11,0.602,0.604,0.684,0.594,0.673
12,1.165,1.272,1.313,1.16,1.403
13,2.479,2.411,2.723,2.325,2.856
14,4.875,4.791,5.827,4.846,6.018
15,9.634,9.628,12.11,9.652,12.935
16,19.609,19.918,26.337,19.974,27.252
17,40.226,39.868,56.594,39.589,57.835
18,76.343,76.058,125.975,77.889,124.069
19,158.658,162.615,265.359,155.506,270.067
20,371.006,366.196,582.012,373.303,618.16
21,804.035,782.544,1389.25,747.897,1489.35
22,1551.84,1522.16,3143.98,1491.64,3434.01
23,3140.92,3081.12,6955.39,3167.32,7339.6
24,5610.42,6191.36,15583.1,6255.6,16045.5
25,12020.6,12858.6,34065.4,12073.6,34783.5
