pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.0554,0.0399,0.0566,0.0547,0.061
11,0.117,0.0764,0.1303,0.1189,0.1347
12,0.2522,0.1624,0.2739,0.2398,0.2886
13,0.5342,0.3298,0.5767,0.5327,0.6139
14,1.0903,0.6759,1.274,1.1098,1.349
15,2.2793,1.3987,2.8503,2.2799,3.0088
16,4.7568,2.9715,6.3612,4.7929,6.6808
17,9.8877,6.1972,14.3142,10.0221,15.6599
18,20.3315,12.853,31.4321,20.5772,32.7535
19,42.339,27.705,71.9463,42.365,77.0598
20,89.0815,57.2828,170.391,89.2255,185.861
21,185.117,115.955,421.641,184.305,461.503
22,384.06,238.133,1030.51,415.321,1165.58
23,832.446,511.584,2497.55,859.52,2740.19
24,1746.3,1125.05,5866.16,1790.03,6337.62
25,3581.48,2225.32,13240.9,3689.12,14275.8
