pow,almostSorted,decreasing,gaussian,increasing,shuffle
10,0.0308,0.0309,0.0409,0.0323,0.0419
11,0.0719,0.0695,0.0931,0.0771,0.099
12,0.1848,0.1853,0.2396,0.1894,0.25
13,0.27,0.2769,0.4324,0.3877,0.4559
14,0.5555,0.57,0.9569,0.6143,1.0121
15,1.2169,1.2172,2.1942,1.3514,2.3461
16,2.6427,2.6183,5.0923,2.8995,5.5063
17,5.1835,5.1073,12.1586,5.7703,13.776
18,10.8851,10.3883,27.109,11.9526,28.6997
19,23.3391,22.3984,62.8865,25.4946,68.8898
20,67.8071,65.1724,187.39,67.8118,203.44
21,140.083,133.775,453.22,139.311,492.325
22,289.545,275.663,1055.92,290.236,1149.66
23,582.36,559.148,2477.02,583.51,2657.71
24,1166.57,1121.59,5739.83,1173.64,6030.77
25,2362.47,2252.77,12779,2362.28,13505.2
